Category,Title,Face value or number of shares,original cost (price paid total in CAD),market value (at end of year in CAD),Unrealized Gain (cashable profits in CAD)
FIXED INCOME,BANK OF MONTREAL MTN SUBORDINATED FIX TO FLT,"34,000","35,377","35,562",185
FIXED INCOME,BANK OF NOVA SCOTIA SUB NOTES FIX-FLT CALL,"33,000","34,874","33,039","-1,835"
FIXED INCOME,CANADA HOUSING TRUST 1 CDA MTG BD SER 40,"1,151,000","1,252,448","1,252,651",202
FIXED INCOME,CANADA HOUSING TRUST 1 CDA MTG BD SER 45,"550,000","539,468","552,489","13,021"
FIXED INCOME,CANADA HOUSING TRUST 3.35% 15DEC20,"325,000","338,851","345,192","6,341"
FIXED INCOME,CANADA HOUSING TRUST GLOBAL NO 1 SER 23,"1,621,000","1,789,848","1,780,775","-9,072"
FIXED INCOME,CBC MONETIZATION TRUST NOTE,"86,903","86,903","97,534","10,631"
FIXED INCOME,CIBC SUB DEBE MTN FIX-TO-FLOAT 30APR2015,"33,000","33,802","33,897",95
FIXED INCOME,HOSPITAL FOR SICK CHILDREN SER A,"155,000","151,358","173,317","21,960"
FIXED INCOME,MUNICIPAL FINANCE AUTHORITY BC UNSECURED,"56,000","55,934","57,233","1,299"
FIXED INCOME,NATIONAL BANK CANADA MTN FIX-TO-FLOAT CALL,"33,000","33,254","34,069",815
FIXED INCOME,NEW BRUNSWICK (PROV OF) SINKING FD DEBENTURES,"141,000","132,849","130,183","-2,667"
FIXED INCOME,NEW BRUNSWICK PROVICE OF,"325,000","356,376","367,789","11,414"
FIXED INCOME,NHA MBS P#96503636 BY EQUITABLE TRUST CO,"300,000","272,774","284,427","11,654"
FIXED INCOME,NHA MBS P#96505011 PEOPLES TRUST CO,"90,000","82,091","89,235","7,143"
FIXED INCOME,ONTARIO (PROVINCE OF ),"2,022,000","2,274,857","2,274,706",-152
FIXED INCOME,ONTARIO (PROVINCE OF) BOND,"1,311,000","1,312,802","1,327,865","15,062"
FIXED INCOME,ONTARIO (PROVINCE OF) BOND UNSECD,"565,000","566,626","575,797","9,171"
FIXED INCOME,ONTARIO (PROVINCE OF) UNSECD,"942,000","858,114","876,908","18,794"
FIXED INCOME,ONTARIO (PROVINCE OF) UNSECD,"531,000","489,982","489,717",-265
FIXED INCOME,ONTARIO HYDRO DEB,"689,000","1,003,788","1,012,711","8,924"
FIXED INCOME,ONTARIO PROV CDA,"1,396,000","1,845,534","1,852,065","6,531"
FIXED INCOME,ONTARIO PROV CDA DEB,"2,131,000","2,568,248","2,668,283","100,034"
FIXED INCOME,ONTARIO PROVINCE,"3,870,000","4,192,361","4,181,698","-10,664"
FIXED INCOME,ONTARIO PROVINCE CANADA,"814,000","1,145,890","1,140,346","-5,545"
FIXED INCOME,ONTARIO PROVINCE CANADA,"2,040,000","2,891,581","2,917,671","26,090"
FIXED INCOME,ONTARIO PROVINCE CANADA,"617,000","777,908","807,044","29,136"
FIXED INCOME,ONTARIO PROVINCE CANADA BOND,"1,191,000","1,497,454","1,516,118","18,664"
